bin_center_logh,n,frac_zero_dG,var_log_floor,var_log_nz,iqr_dG,sd_dG,pair,cond
0.3047175161287626,7014678,0.01598434026479904,6.754876064857216,3.4452062431906224e-05,2.0,0.9878639377091766,C0u-vs-C2,C0u
0.9141525483862878,7453797,0.36310983516186446,102.9662170887693,0.1594038911764615,2.0,1.3519234312267,C0u-vs-C2,C0u
1.523587580643813,4079296,0.30280371907309495,95.5469149388431,0.20663383812225067,2.0,1.74721980297866,C0u-vs-C2,C0u
2.133022612901338,1743390,0.153658102891493,58.99773544670373,0.3013159388140617,2.0,2.1211933335361866,C0u-vs-C2,C0u
2.742457645158863,522723,0.1596141742375981,62.35360857527322,0.3623828415968388,4.0,2.8073658379633866,C0u-vs-C2,C0u
3.351892677416388,71838,0.09858292268715721,42.81401584984203,0.48647018610799386,6.0,4.352142827439199,C0u-vs-C2,C0u
3.9613277096739137,6715,0.055100521221146684,26.12414736246942,0.5738111798946866,9.0,6.399090906708999,C0u-vs-C2,C0u
4.570762741931439,327,0.07339449541284404,34.677564918696035,0.7438287979409047,12.0,8.258009889945772,C0u-vs-C2,C0u
5.180197774188963,19,0.05263157894736842,26.12137880296935,0.8335857694360359,13.0,9.245197900019573,C0u-vs-C2,C0u
0.3047175161287626,152474,0.0005050041318519879,0.22377014238070358,0.006798942354493149,2.0,0.9632193281982087,C0u-vs-C2,C2
0.9141525483862878,114202,0.42717290415229153,108.00411908266007,0.1396561228336019,2.0,1.1664462985476134,C0u-vs-C2,C2
1.523587580643813,75885,0.35789681755287606,102.92811621761462,0.17918931516347383,2.0,1.477674720136179,C0u-vs-C2,C2
2.133022612901338,47309,0.19359952651715318,69.84204812306032,0.23877208090962623,2.0,1.7579528599999927,C0u-vs-C2,C2
2.742457645158863,28783,0.20592016120626758,74.20336161873112,0.2876957647274461,3.0,2.1005539919493708,C0u-vs-C2,C2
3.351892677416388,11115,0.18191632928475035,68.20009232658431,0.3574296383628815,3.0,2.515567409320746,C0u-vs-C2,C2
3.9613277096739137,4888,0.19189852700490997,70.75598538057785,0.3821856174339539,2.0,2.5938279699185998,C0u-vs-C2,C2
4.570762741931439,599,0.17195325542570952,66.85466923982997,0.4911739422918602,4.0,3.55375089218696,C0u-vs-C2,C2
5.180197774188963,27,0.18518518518518517,74.91712321862117,0.509911139570283,7.0,5.798632826898053,C0u-vs-C2,C2
5.789632806446489,9,0.1111111111111111,50.4399748386864,0.2574003487145734,11.0,6.847546194724712,C0u-vs-C2,C2
0.3047175161287626,7029222,0.01621416993231968,6.850360265943865,1.4103483292393102e-05,2.0,0.987739128933433,C0p-vs-C3,C0p
0.9141525483862878,7450903,0.3641911591118553,103.08462638099321,0.1591487525415185,2.0,1.3489953350560477,C0p-vs-C3,C0p
1.523587580643813,4074190,0.30282608322145016,95.52849021573492,0.20519504638144487,2.0,1.7404461189404252,C0p-vs-C3,C0p
2.133022612901338,1745706,0.15357912500730364,58.9733854782624,0.30025590595482815,2.0,2.118275870846954,C0p-vs-C3,C0p
2.742457645158863,523431,0.1583952803712428,62.010893422774835,0.35963197359924387,4.0,2.8164845259173665,C0p-vs-C3,C0p
3.351892677416388,71437,0.09516077102901857,41.50918288897447,0.48870367881442567,6.0,4.378571494437461,C0p-vs-C3,C0p
3.9613277096739137,6586,0.05648344974187671,26.833751969088116,0.5949865979496091,9.0,6.646037721878323,C0p-vs-C3,C0p
4.570762741931439,303,0.039603960396039604,19.732848465973543,0.6844714462105997,12.0,8.440379680407144,C0p-vs-C3,C0p
5.180197774188963,10,0.0,1.0905102425496518,1.0905102425496518,6.75,6.618156843109719,C0p-vs-C3,C0p
0.3047175161287626,175234,0.001158450985539336,0.5035162852981678,0.006166288749580617,2.0,0.9470831210882289,C0p-vs-C3,C3
0.9141525483862878,127671,0.42441118186588966,107.81778650414957,0.13981975457690332,2.0,1.168641889362318,C0p-vs-C3,C3
1.523587580643813,84591,0.3627099809672424,103.46912984840142,0.17585903847434112,2.0,1.457708974594292,C0p-vs-C3,C3
2.133022612901338,51249,0.19865753478116646,71.18351149422199,0.23301338601797467,2.0,1.7310886870803617,C0p-vs-C3,C3
2.742457645158863,28568,0.2082049845981518,74.87064596128182,0.2939623349565198,3.0,2.153822900110286,C0p-vs-C3,C3
3.351892677416388,11306,0.1824694852290819,68.3656557873061,0.35158581847902837,3.0,2.555417782969549,C0p-vs-C3,C3
3.9613277096739137,5092,0.194815396700707,71.68085091060817,0.4266855714302346,2.0,3.4730395382585364,C0p-vs-C3,C3
4.570762741931439,737,0.1560379918588874,61.94766341045034,0.6977898152528745,3.0,7.6676611547731195,C0p-vs-C3,C3
5.180197774188963,54,0.05555555555555555,27.30006833534439,0.8769573270031018,11.75,11.112669643780336,C0p-vs-C3,C3
5.789632806446489,8,0.0,1.2447757427383563,1.2447757427383563,32.25,22.38302928559939,C0p-vs-C3,C3
