metric,s3_mean,a4_mean,shrinkage_mean,shrinkage_lo,shrinkage_hi,ci_excludes_zero,shrinks,ratio_reference_only,n
rho_pearson,-0.020141752284916548,-0.02597950471361017,0.005837752428693633,-0.021387066709664705,0.03250813360876149,False,False,1.2898333941414477,100
rho_spearman,-0.00903201279682103,-0.017449777957664656,0.008417765160843624,-0.008009206977759155,0.024978129937259643,False,False,1.9319921650029548,100
tau_kendall,-0.006965118952871694,-0.013932066165523655,0.0069669472126519605,-0.006234593970541857,0.02037623139780855,False,False,2.000262487947821,100
bin_var_slope,0.004625707625707626,0.0153036963036963,-0.010677988677988682,-0.07889301531801529,0.05698255078255076,False,False,3.3084011230292982,100
q90_q10_slope_diff,0.0060910341164926475,-0.009368419952951179,0.01545945406944383,-0.0076033288186727905,0.03897560875370046,False,False,1.5380672269729008,100
