b_phi_iqr,b_phi_sd,b_dW_iqr,b_dW_sd,a_zero,M_iqr_phi,M_iqr_dW,n_bins,n_rt,cond,seed
0.36087699590134176,0.4568749202069549,0.3149109733692089,0.4870999253882033,-0.3368457589359174,0.9404801560780578,0.8645309671165333,9,1043724,C0u,1000
0.36087699590134176,0.4601721280509005,0.31779886229114634,0.49132171940017405,-0.31204223991651125,0.9404801560780578,0.8645309671165333,9,1047050,C0u,1001
0.36087699590134176,0.44566279523233704,0.29191084710714793,0.47797829930483876,-0.3640064184373042,0.9404801560780578,0.8597690960663361,9,1046551,C0u,1002
0.36579264716790616,0.44636787941956746,0.30086026725243936,0.48762073635006536,-0.32503257284616116,0.9093466418174697,0.8645309671165333,9,1041499,C0u,1003
0.3889096540529948,0.46612540201416786,0.3199435052588011,0.5189537992962847,-0.306984167630105,0.9404801560780578,0.8597690960663361,9,1043096,C0u,1004
0.36579264716790616,0.4412101577864586,0.2973290433655154,0.5204715761502476,-0.35912084018099016,0.9093466418174697,0.8645309671165333,9,1042132,C0u,1005
0.36087699590134176,0.4493187585283134,0.30086026725243936,0.4888131185413496,-0.33032648890115957,0.9404801560780578,0.8645309671165333,9,1047615,C0u,1006
0.36579264716790616,0.4379050507990983,0.29191084710714793,0.4805226533952522,-0.3557432691237889,0.9093466418174697,0.8597690960663361,9,1041123,C0u,1007
0.36579264716790616,0.46269089547600084,0.3339942113755705,0.517289984094911,-0.3076266772908671,0.9093466418174697,0.8597690960663361,9,1044378,C0u,1008
0.36087699590134176,0.46311619453219255,0.3318495684079156,0.5369925450491928,-0.33068505972902085,0.9404801560780578,0.8645309671165333,9,1045009,C0u,1009
0.36087699590134176,0.4529551735404179,0.31729361663229344,0.5013350243180785,-0.3210060077729425,0.9404801560780578,0.8645309671165333,9,1046014,C0u,1010
0.36087699590134176,0.46165303157703674,0.3339942113755705,0.5224328318246817,-0.31184691049104707,0.9404801560780578,0.8597690960663361,9,1046679,C0u,1011
0.36579264716790616,0.4568633473062371,0.32051750499953935,0.4901052709348644,-0.34895131893279835,0.9093466418174697,0.8597690960663361,9,1043679,C0u,1012
0.36087699590134176,0.4502224217830414,0.31433697362847035,0.5000114543295328,-0.3248501496384787,0.9404801560780578,0.8645309671165333,9,1041415,C0u,1013
0.36087699590134176,0.4500941763713275,0.30646679888277,0.4790808870340763,-0.324851411441628,0.9404801560780578,0.8597690960663361,9,1042093,C0u,1014
0.36087699590134176,0.4409192214437911,0.29191084710714793,0.5134563321050041,-0.3565961165028905,0.9404801560780578,0.8597690960663361,9,1041083,C0u,1015
0.36579264716790616,0.4463791001989858,0.32051750499953935,0.4588645755732926,-0.3072716671510476,0.9093466418174697,0.8597690960663361,9,1041913,C0u,1016
0.36087699590134176,0.4618595875381331,0.3453262747839465,0.5014607536154541,-0.3005819393297683,0.9404801560780578,0.8645309671165333,9,1044152,C0u,1017
0.36579264716790616,0.445445579569924,0.27048109504607876,0.5018565343899883,-0.35699680472114315,0.9093466418174697,0.8645309671165333,9,1043824,C0u,1018
0.3326370497938984,0.43707013502712944,0.27048109504607876,0.4745507666717644,-0.34922973580056804,0.9093466418174697,0.8645309671165333,9,1044608,C0u,1019
0.3326370497938984,0.4381720756548406,0.2863043154768171,0.46979884652190207,-0.34193042842136695,0.9093466418174697,0.8645309671165333,9,1039938,C0p,1000
0.36087699590134176,0.44485517728066437,0.30646679888277,0.4863149348016437,-0.32852363351912506,0.9404801560780578,0.8597690960663361,9,1044944,C0p,1001
0.36087699590134176,0.46132509524622767,0.3312755686671774,0.5114478497372796,-0.3056058574599675,0.9404801560780578,0.8645309671165333,9,1048178,C0p,1002
0.36579264716790616,0.4515323242842755,0.30086026725243936,0.4972732980996052,-0.33504551008234057,0.9093466418174697,0.8645309671165333,9,1044489,C0p,1003
0.36087699590134176,0.4522214143590902,0.30646679888277,0.4926327336330019,-0.3324873851731319,0.9404801560780578,0.8597690960663361,9,1045283,C0p,1004
