cond,pooled_bin_var_slope,ci_lo,ci_hi,n_rt,n_trials
C0u,-0.4035714285714285,-0.5824175824175825,-0.2783928571428573,104454012,100
C0p,-0.2879120879120879,-0.4983035714285714,-0.1956043956043956,104470944,100
C2,-0.059340659340659345,-0.3947321428571428,0.2198901098901098,435291,100
C3,-0.12637362637362637,-0.45285714285714285,0.11538461538461539,484512,100
C2_A1,-0.3071428571428571,-0.3607142857142856,-0.10491071428571466,2568176,100
C3_A1,-0.09010989010989012,-0.35357142857142854,0.16483516483516483,2607744,100
C2_A4,-0.3186813186813187,-0.4045054945054945,-0.037884615384615405,467512,100
C3_A4,-0.2087912087912088,-0.5114354395604396,-0.04656593406593419,505302,100
