order_volume,n_seeds,n_rt_total,n_rt_mean,censored_frac_mean,funnel_pooled,funnel_per_seed_mean
15,6,24494,4082.3333333333335,0.7146212905413916,0.6371764616574127,0.5726368649260736
30,6,25271,4211.833333333333,0.7220833364665519,0.9212062087941435,0.6036909081724886
60,6,31014,5169.0,0.70762164751894,0.0829774407037447,0.5996696404389913
120,6,36541,6090.166666666667,0.7242982468626317,0.8714831847494955,0.644186597764827
