b_phi_iqr,b_phi_sd,b_dW_iqr,b_dW_sd,a_zero,M_iqr_phi,M_iqr_dW,n_bins,n_rt,cond,seed
0.45448446251019536,0.47626528552863884,0.42357230287829195,0.4907661127068521,-0.011916627580816458,0.9601136296387952,0.9019083851355777,10,1044416,C0u,1000
0.4430166973396392,0.5093346334042094,0.4677853681215736,0.6469511359780034,0.1650077776756702,0.9355732821031266,0.926644502314687,11,1047754,C0u,1001
0.4426492493009467,0.46077952678578277,0.44837208704380427,0.48925325357211186,0.0446375791950543,0.9678344297618551,0.9241989846421229,11,1047217,C0u,1002
0.43865725693769286,0.47399982295046006,0.4131223503905661,0.5444830870737707,0.12572180457651147,0.9601136296387952,0.9019083851355777,10,1042237,C0u,1003
0.44799793098850016,0.4892392130685555,0.49395205756574223,0.5257342712050815,0.04714856978013678,0.947189009135708,0.945215333502852,11,1043883,C0u,1004
0.4322344813610844,0.4792283644391578,0.47098140635880575,0.5592694108377249,-0.08019904243242484,0.9353455805530031,0.8979172630345245,11,1042892,C0u,1005
0.45384094794021035,0.47106812096669864,0.45613130359314974,0.5017502865370038,0.056011135271127555,0.9601136296387952,0.9019083851355777,10,1048394,C0u,1006
0.42449210090839823,0.47394089870985484,0.4295747666681056,0.5292535226423799,0.001079702740233871,0.9601136296387952,0.9019083851355777,10,1041885,C0u,1007
0.4606017897835272,0.4915223275429473,0.4311373686957078,0.548440012673828,0.05277153000195693,0.9601136296387952,0.9019083851355777,10,1045121,C0u,1008
0.47281972678450146,0.4817693288486944,0.4894918079860342,0.5474988571545542,0.05966447449908474,0.9601136296387952,0.9019083851355777,10,1045796,C0u,1009
0.48692587160990053,0.5345852814460527,0.4552563833727822,0.5410578305553215,-0.057960837074366466,0.9601136296387952,0.9019083851355777,10,1046686,C0u,1010
0.46763800668470346,0.5115411269808359,0.4837348333330089,0.5650256291953871,0.07355982381698503,0.947189009135708,0.945215333502852,11,1047411,C0u,1011
0.4216529487459882,0.4788296365314682,0.4508727925567962,0.4953483514295509,0.06967875228323214,0.9353455805530031,0.926644502314687,11,1044492,C0u,1012
0.422967272727444,0.46660511304196806,0.4140122778208956,0.4971740256536258,-0.025878338182859225,0.956954224328155,0.9019083851355777,10,1042196,C0u,1013
0.46701068409263097,0.49859819445681114,0.4142539713823391,0.508605862777874,0.06540083324149921,0.9701790336292931,0.9241989846421229,11,1042988,C0u,1014
0.4194723197225854,0.5114056101420452,0.4587638586548372,0.526646531958243,0.001290362963173115,0.947804480540862,0.9019083851355777,10,1041911,C0u,1015
0.4385995530775043,0.4918250931839425,0.42411027842282034,0.4722938820339104,0.09416308493270764,0.9537463156584327,0.926644502314687,11,1042631,C0u,1016
0.3952798802533416,0.4835322442950663,0.44077739607507677,0.5857312053261456,0.00032545547615390997,0.926084733220795,0.8953992890924982,11,1044910,C0u,1017
0.4169724606238821,0.463570114626039,0.39999918891879754,0.5023434255396165,-0.05091239620758241,0.9601136296387952,0.9019083851355777,10,1044596,C0u,1018
0.43814977814552875,0.48095590100279256,0.39258945565472503,0.5783983510078785,-0.010803643700240584,0.9601136296387952,0.9019083851355777,10,1045367,C0u,1019
0.4356718937399723,0.4699557475776842,0.40644603121797246,0.4575511198552619,0.029320401074790232,0.9347251667455524,0.9019083851355777,10,1040669,C0p,1000
0.42907091038596173,0.46837320120964626,0.4258958593175457,0.5101547753749396,-0.008992416052031525,0.9601136296387952,0.9019083851355777,10,1045680,C0p,1001
0.4318017619106243,0.49694550124408904,0.4331288804009235,0.5704725585580813,0.06404112610386338,0.9447907528627634,0.926644502314687,11,1048844,C0p,1002
0.5100202713885033,0.4991884263191974,0.5347597459552167,0.5896221105344208,0.13332452755823546,0.9537463156584327,0.926644502314687,11,1045164,C0p,1003
0.415315273541778,0.47130062468565553,0.39993252001698804,0.5098358816794938,0.05473285339105434,0.8953992890924982,0.926644502314687,11,1045962,C0p,1004
0.42543116208644305,0.5005228201836002,0.47832071202616133,0.5748361862956003,-0.0350234502101648,0.9353455805530031,0.9358192003574065,11,1042048,C0p,1005
0.43778353169922346,0.4849314287026585,0.4276204809038124,0.5100586587790049,0.06113858758978967,0.947189009135708,0.9241989846421229,11,1045353,C0p,1006
0.48843102706203484,0.5489476144617881,0.47610614317638145,0.5696026890193733,0.015614099389859689,0.9601136296387952,0.9019083851355777,10,1043742,C0p,1007
0.4637031732020112,0.5078980949810257,0.46182342452434577,0.4873702185229899,0.15157559904797024,0.9701790336292931,0.926644502314687,11,1043734,C0p,1008
0.4806819557509322,0.5179719935534987,0.4945485838176554,0.5298690876875746,0.0400033676484954,0.8953992890924982,0.926644502314687,11,1047364,C0p,1009
0.45010040213217234,0.4742269722283056,0.4279728017242755,0.5205993649756244,0.03256786779782497,0.9601136296387952,0.9019083851355777,10,1045487,C0p,1010
0.445347067956231,0.47992442735045887,0.4322285800893776,0.5357954216220638,0.017662147168318064,0.9601136296387952,0.9019083851355777,10,1045986,C0p,1011
0.4042578346146167,0.4596533882014595,0.4091227074580292,0.510440209682556,0.1348376154340827,0.947804480540862,0.9019083851355777,10,1040714,C0p,1012
0.45957202384648527,0.4962300707847975,0.4759423101458046,0.5344148332087444,0.10559522879643803,0.9447907528627634,0.926644502314687,11,1043221,C0p,1013
0.4850353084650246,0.48948104009667504,0.40589293781975727,0.5277794737636047,-0.04893166848395733,0.9379580992210835,0.9019083851355777,10,1045921,C0p,1014
0.4791877005885418,0.5202843810716675,0.4751443832219191,0.5506235086674406,0.1238217307676228,0.9047263650205452,0.926644502314687,11,1049101,C0p,1015
0.44373089435303936,0.47723348814964983,0.4592039304149966,0.5353272822710403,0.05809805763043357,0.9047263650205452,0.926644502314687,11,1044816,C0p,1016
0.43393167105974734,0.48758896910195876,0.48138248430990493,0.5490869141581985,-0.02749095058762699,0.9601136296387952,0.9019083851355777,10,1044407,C0p,1017
