metric,interaction_mean,ci_lo,ci_hi,n
rho_pearson,-0.020141752284916548,-0.042245872493391415,0.001986514739138857,100
rho_spearman,-0.00903201279682103,-0.02242129699300736,0.004118211769486103,100
tau_kendall,-0.006965118952871694,-0.017893234991046406,0.0034517322075140323,100
bin_var_slope,0.004625707625707626,-0.05401500999000998,0.06404290709290708,100
q90_q10_slope_diff,0.0060910341164926475,-0.008798389118889449,0.021207163299888077,100
