cond,metric,mean,ci_lo,ci_hi,n
C0u,rho_pearson,0.34718506175948893,0.345654803968792,0.34875036595603315,100
C0u,rho_spearman,0.19416650565873922,0.19316835320687764,0.1951820803069653,100
C0u,tau_kendall,0.15598667312037692,0.15514855545318876,0.15681742604999183,100
C0u,rho_p_first_half,0.3464226607643725,0.3443951144620498,0.34852951105715757,100
C0u,rho_p_second_half,0.3478374567155449,0.3458597664033857,0.34984725129190075,100
C0u,rho_s_first_half,0.19414697382474536,0.19267775187122893,0.1956959229971466,100
C0u,rho_s_second_half,0.1941811851690977,0.1927521775586401,0.19563415951882268,100
C0u,bin_var_slope,-0.31409890109890115,-0.34020207292707294,-0.28750804195804197,100
C0u,q90_q10_slope_diff,0.593207580006759,0.5909168951589656,0.5955924900004173,100
C0u,corr_w_init_h,0.0003105620794448236,-0.00015106762777880795,0.0007797315349960426,100
C0u,skew_high_minus_low,-0.11376645192298104,-0.11873914344802973,-0.10692199829613296,100
C0u,hill_alpha,2.4583449604680006,2.168657301426695,2.8052384198603284,100
C0u,lifetime_median,389.63,388.62,390.605,100
C0u,lifetime_p90,907.426,904.8810000000001,909.9890250000002,100
C0u,wealth_persistence_rho,-0.008271547353591391,-0.026410760698774016,0.009439314848399234,100
C0u,forced_retire_rate,0.002123154,0.0021180058499999997,0.0021281300499999996,100
C0u,corr_winit_wt_T1,-0.00025856714508575295,-0.01720558795882972,0.017388627091874397,100
C0u,corr_winit_wt_T2,0.01392133001161341,-0.004694023951086792,0.032744324765163875,100
C0u,corr_winit_wt_T3,0.008202472360686958,-0.0086115396708001,0.02475038673947756,100
C0u,corr_winit_wt_T4,0.004789072117453298,-0.015546844293851416,0.025312150122684163,100
C0u,corr_winit_wt_T5,0.006377636150822829,-0.012838535174284838,0.02520185871787622,100
C0u,corr_winit_wt_T6,0.0094401736628414,-0.009630906073659575,0.028978615729231508,100
C0u,corr_winit_wt_T7,0.002891093006960507,-0.015093977761541697,0.020796894874949904,100
C0u,corr_winit_wt_T8,0.004227090827964051,-0.018771602443782138,0.02684186386021397,100
C0u,corr_winit_wt_T9,0.0004399426865224151,-0.019399161364899383,0.0200193528871847,100
C0u,corr_winit_wt_T10,-0.008271547353591391,-0.02626032307216214,0.009225405987724165,100
C0u,bin_var_slope_pooled,-0.4035714285714285,,,100
C0p,rho_pearson,0.34687329458739474,0.34556321076647173,0.3481804845333237,100
C0p,rho_spearman,0.19427694600715928,0.19333774701016268,0.19524183709170864,100
C0p,tau_kendall,0.15606097131647112,0.15527733222693021,0.15685734558896358,100
C0p,rho_p_first_half,0.34699230085626714,0.3449052611169821,0.34911445811855013,100
C0p,rho_p_second_half,0.3466412890867712,0.34455541496829317,0.3488164120481624,100
C0p,rho_s_first_half,0.19436001553161306,0.19281662953913806,0.1959236525846624,100
C0p,rho_s_second_half,0.19420675012064786,0.192622920071058,0.1957901953704377,100
C0p,bin_var_slope,-0.3241558441558442,-0.3485225274725275,-0.2992447552447553,100
C0p,q90_q10_slope_diff,0.591399523241995,0.5890866834123342,0.5938014477164248,100
C0p,corr_w_init_h,-0.00044040895831730256,-0.0009350411609385519,6.488098473742594e-05,100
C0p,skew_high_minus_low,-0.11695125596506795,-0.1197682866253749,-0.11392557553407463,100
C0p,hill_alpha,2.8227627459774856,2.416803778955242,3.2452915791673407,100
C0p,lifetime_median,387.82,386.875,388.765,100
C0p,lifetime_p90,905.0120000000002,902.2729750000001,907.5960750000003,100
C0p,wealth_persistence_rho,-0.010337489994793005,-0.03260066204822584,0.01199857845776462,100
C0p,forced_retire_rate,0.0021327240000000003,0.0021277459500000004,0.0021376821499999995,100
C0p,corr_winit_wt_T1,0.00011134839489808167,-0.019948509618271805,0.019992064789616803,100
C0p,corr_winit_wt_T2,0.014391353438660735,-0.002582348377165015,0.031122714096916852,100
C0p,corr_winit_wt_T3,0.004259520300813508,-0.01577894280298876,0.02495213033204359,100
C0p,corr_winit_wt_T4,-0.01573760989762287,-0.035397193081370536,0.004480383625715234,100
C0p,corr_winit_wt_T5,-0.00044432124048325567,-0.021377450794410488,0.02019053591686224,100
C0p,corr_winit_wt_T6,-0.019664657316154795,-0.03822278386575559,-0.0010485331825643726,100
C0p,corr_winit_wt_T7,-0.007820754371016541,-0.027326239442787732,0.011818957539012173,100
C0p,corr_winit_wt_T8,-0.018164004194303772,-0.0377444235935905,0.0009019982320589225,100
C0p,corr_winit_wt_T9,0.005801837125294735,-0.01116150209688534,0.022625455550292297,100
C0p,corr_winit_wt_T10,-0.010337489994793005,-0.032466590307459506,0.012172438833296516,100
C0p,bin_var_slope_pooled,-0.2879120879120879,,,100
