cond,metric,mean,ci_lo,ci_hi,n
C0u,rho_pearson,0.34718506175948893,0.345654803968792,0.34875036595603315,100
C0u,rho_spearman,0.19416650565873922,0.19316835320687764,0.1951820803069653,100
C0u,tau_kendall,0.15598667312037692,0.15514855545318876,0.15681742604999183,100
C0u,rho_p_first_half,0.3464226607643725,0.3443951144620498,0.34852951105715757,100
C0u,rho_p_second_half,0.3478374567155449,0.3458597664033857,0.34984725129190075,100
C0u,rho_s_first_half,0.19414697382474536,0.19267775187122893,0.1956959229971466,100
C0u,rho_s_second_half,0.1941811851690977,0.1927521775586401,0.19563415951882268,100
C0u,bin_var_slope,-0.31409890109890115,-0.34020207292707294,-0.28750804195804197,100
C0u,q90_q10_slope_diff,0.593207580006759,0.5909168951589656,0.5955924900004173,100
C0u,corr_w_init_h,0.0003105620794448236,-0.00015106762777880795,0.0007797315349960426,100
C0u,skew_high_minus_low,-0.11376645192298104,-0.11873914344802973,-0.10692199829613296,100
C0u,hill_alpha,2.4583449604680006,2.168657301426695,2.8052384198603284,100
C0u,lifetime_median,389.63,388.62,390.605,100
C0u,lifetime_p90,907.426,904.8810000000001,909.9890250000002,100
C0u,wealth_persistence_rho,-0.008271547353591391,-0.026410760698774016,0.009439314848399234,100
C0u,forced_retire_rate,0.002123154,0.0021180058499999997,0.0021281300499999996,100
C0u,bin_var_slope_pooled,-0.4035714285714285,,,100
C0p,rho_pearson,0.34687329458739474,0.34555594109206805,0.3481615315509921,100
C0p,rho_spearman,0.19427694600715928,0.1933202535889686,0.19523265037811857,100
C0p,tau_kendall,0.15606097131647112,0.15527392107289115,0.15687109591321405,100
C0p,rho_p_first_half,0.34699230085626714,0.344898918796078,0.34912785564567,100
C0p,rho_p_second_half,0.3466412890867712,0.34455108926204686,0.3488392102195349,100
C0p,rho_s_first_half,0.19436001553161306,0.19281540808507505,0.19591135086422304,100
C0p,rho_s_second_half,0.19420675012064786,0.192680652183771,0.1957477027547658,100
C0p,bin_var_slope,-0.3241558441558442,-0.3477814435564436,-0.2996331668331668,100
C0p,q90_q10_slope_diff,0.591399523241995,0.5891067584555303,0.593817783320004,100
C0p,corr_w_init_h,-0.00044040895831730256,-0.0009440536003778725,6.724074171881545e-05,100
C0p,skew_high_minus_low,-0.11695125596506795,-0.11988193131571388,-0.11410588755760061,100
C0p,hill_alpha,2.8227627459774856,2.4193083302604372,3.237772670194465,100
C0p,lifetime_median,387.82,386.89,388.755,100
C0p,lifetime_p90,905.0120000000002,902.2939250000002,907.678025,100
C0p,wealth_persistence_rho,-0.010337489994793005,-0.03256988067020613,0.01228760006719521,100
C0p,forced_retire_rate,0.0021327240000000003,0.0021277938999999997,0.00213779835,100
C0p,bin_var_slope_pooled,-0.2879120879120879,,,100
C2,rho_pearson,0.27755231503876343,0.26126498613940885,0.2936932837001011,100
C2,rho_spearman,0.14221180087496899,0.13234359756848071,0.15291693266692824,100
C2,tau_kendall,0.10805507852141111,0.09970859258320312,0.11643304951703244,100
C2,rho_p_first_half,0.2597927289815777,0.2357705112930904,0.2837738652007662,100
C2,rho_p_second_half,0.3084130013612414,0.288727768543288,0.32875590850932274,100
C2,rho_s_first_half,0.12986809702702723,0.1133098941370298,0.1464082028064879,100
C2,rho_s_second_half,0.16012702806426776,0.1452322126494755,0.17552420302787328,100
C2,bin_var_slope,-0.03587279387279387,-0.06732768065268065,-0.003544413919413935,100
C2,q90_q10_slope_diff,0.2126918918142226,0.19968115512586085,0.22578976962211544,100
C2,corr_w_init_h,-0.006078420652049979,-0.01802676300600727,0.005476852904558386,100
C2,skew_high_minus_low,0.5039921509987801,0.4368631770739282,0.5703564181764414,100
C2,hill_alpha,3.1453999819397147,2.8902293164142128,3.4210787255735156,100
C2,lifetime_median,1500.0,1500.0,1500.0,100
C2,lifetime_p90,1500.0,1500.0,1500.0,100
C2,wealth_persistence_rho,0.23685723363366953,0.2160931517260876,0.25757298653758304,100
C2,forced_retire_rate,7.286666666666667e-05,6.639999999999999e-05,7.953333333333333e-05,100
C2,bin_var_slope_pooled,-0.032967032967032975,,,100
C3,rho_pearson,0.25709879558175264,0.24306553746354187,0.27168940873306263,100
C3,rho_spearman,0.133290228426568,0.12422264765898901,0.14212391313951364,100
C3,tau_kendall,0.10116425776463361,0.09408954564801772,0.10830039036555117,100
C3,rho_p_first_half,0.27738471365052647,0.25757961501594245,0.2970471342720644,100
C3,rho_p_second_half,0.2736322070656558,0.2560745002204516,0.2919251740055652,100
C3,rho_s_first_half,0.14551147997700925,0.13209079772981766,0.15919248925110857,100
C3,rho_s_second_half,0.13242789689949347,0.11994868032506625,0.1449965949097918,100
C3,bin_var_slope,-0.041304029304029294,-0.0746696137196137,-0.006497760572760575,100
C3,q90_q10_slope_diff,0.21697486916595138,0.20539775716888733,0.2286134853174521,100
C3,corr_w_init_h,-0.003986236378353519,-0.014552132285941186,0.006334930363267559,100
C3,skew_high_minus_low,0.5345805224662254,0.46746940023182176,0.6128532558443284,100
C3,hill_alpha,2.9782286915784506,2.76089727268109,3.210984487632125,100
C3,lifetime_median,1485.515,1481.5998749999999,1489.17,100
C3,lifetime_p90,1500.0,1500.0,1500.0,100
C3,wealth_persistence_rho,-0.010725762937221925,-0.032483681397590954,0.010361894081031353,100
C3,forced_retire_rate,0.00025939999999999996,0.00024953166666666663,0.0002692666666666667,100
C3,bin_var_slope_pooled,-0.17482517482517487,,,100
