metric,s3_mean,a1_mean,shrinkage_mean,shrinkage_lo,shrinkage_hi,shrinkage_ratio,ci_excludes_zero,L2_pass,n
rho_pearson,-0.020141752284916548,-0.0018430992612029685,-0.018298653023713574,-0.04278792153822309,0.006143777679517609,0.091506400988915,False,False,100
rho_spearman,-0.00903201279682103,-0.009086496271250556,5.44834744295232e-05,-0.015207938649329433,0.014871538135323851,1.0060322627586071,False,False,100
tau_kendall,-0.006965118952871694,-0.007592023453815075,0.0006269045009433819,-0.011879639172547661,0.012888427018768935,1.090006287787075,False,False,100
bin_var_slope,0.004625707625707626,0.017607142857142863,-0.012981435231435237,-0.07463567890442889,0.04825864552114551,3.806367432150314,False,False,100
q90_q10_slope_diff,0.0060910341164926475,-0.004625989858746498,0.01071702397523915,-0.006412628307932062,0.02804477706597119,0.7594752828950243,False,False,100
