bin_center_logh,n,frac_zero_dG,var_log_floor,var_log_nz,iqr_dG,sd_dG,cond
0.17823691769058228,7014678,0.01598434026479904,6.754876064857216,3.4452062431906224e-05,2.0,0.9878639377091766,C0u
0.5347107530717469,4551169,0.5774841584656601,111.39038018004726,0.033003612125741745,0.0,1.2615992440456865,C0u
1.247658423834076,4845887,0.194411879600164,69.52251968940516,0.1934134486673608,2.0,1.5476412475780286,C0u
1.6041322592152405,1264799,0.03803845512211822,16.414063788698186,0.24490065325024338,2.0,1.7927901024771142,C0u
1.9606060945964052,1905898,0.26027783228693246,87.68556837067547,0.24095244239392175,3.0,1.9751327234565164,C0u
2.3170799299775697,836797,0.15475318386657697,59.719396242139716,0.318723735527421,3.0,2.278785028334824,C0u
2.6735537653587342,310906,0.12364508886930455,50.21827154554317,0.3824034792827951,4.0,2.76936928678184,C0u
3.0300276007398987,114352,0.126696516020708,52.35924438609287,0.4254752921427152,4.0,3.5114599565871263,C0u
3.3865014361210632,38046,0.07890448404562897,35.24390766781944,0.5172175813181383,6.0,4.623258455892134,C0u
3.7429752715022278,8326,0.06473696853230843,30.094822374533365,0.5415632680785955,8.0,5.903282187373624,C0u
4.099449106883393,1610,0.0484472049689441,23.43079995579686,0.6044767295835186,10.0,7.206350906231455,C0u
4.455922942264557,260,0.08076923076923077,37.764195377141675,0.7100280728374735,11.0,8.093626501193912,C0u
4.812396777645722,41,0.07317073170731707,34.511273810776736,0.995297171676052,10.0,9.001288823046798,C0u
5.168870613026886,14,0.0,0.8703639525645854,0.8703639525645854,15.5,10.091418864256775,C0u
0.22519229739947516,175234,0.001158450985539336,0.5035162852981678,0.006166288749580617,2.0,0.9470831210882289,C3
0.6755768921984255,76750,0.6815635179153094,98.85310004761995,0.050973399406687395,0.0,1.0836338779283192,C3
1.125961486997376,50921,0.036821743485006185,15.48511793137371,0.09811895980579483,2.0,1.2861329711530547,C3
1.5763460817963262,84591,0.3627099809672424,103.46912984840142,0.17585903847434112,2.0,1.457708974594292,C3
2.0267306765952764,37041,0.18501120380119326,67.2388090299527,0.22544959554072586,2.0,1.689574552861951,C3
2.4771152713942266,27641,0.23834159400889982,82.05747167151951,0.2538593619621076,2.0,1.910203464357007,C3
2.9274998661931773,17501,0.17707559568024683,66.31640944886857,0.32194182028657536,3.0,2.3090520280675566,C3
3.3778844609921275,8159,0.18568452016178452,69.32230339909106,0.3554946689465524,3.0,2.557421164496529,C3
3.8282690557910777,4582,0.18900043649061546,70.04474927206759,0.38519962168859684,3.0,2.791850558920771,C3
4.278653650590028,1836,0.19335511982570805,71.72297435416479,0.5683494561172384,3.0,5.516285553360749,C3
4.729038245388978,204,0.11274509803921569,49.11802565092259,0.7383062015536856,7.0,10.046502554207768,C3
5.179422840187929,36,0.05555555555555555,27.053092849642294,0.8762600632830135,9.75,9.415642356613505,C3
5.62980743498688,11,0.09090909090909091,45.500821265572085,1.3908775866926129,35.0,19.312993955810946,C3
